0: 0 1 2 
1: 0 1 3 
2: 1 7 0 
3: 1 7 9 
4: 3 9 1 
5: 6 9 1 
6: 5 9 1 
7: 5 9 11 
8: 6 11 5 
9: 4 11 5 
9: 11 4 6 
10: 10 11 4 
10: 11 10 6 
8: 11 6 9 
9: 3 11 6 
9: 11 3 9 
6: 9 5 6 
7: 6 11 5 
8: 4 11 5 
8: 11 4 6 
9: 10 11 4 
9: 11 10 6 
7: 11 6 9 
8: 3 11 6 
8: 11 3 9 
5: 9 6 3 
6: 3 11 6 
6: 11 3 9 
4: 9 3 7 
2: 7 1 3 
3: 3 9 1 
4: 6 9 1 
5: 5 9 1 
6: 5 9 11 
7: 6 11 5 
8: 4 11 5 
8: 11 4 6 
9: 10 11 4 
9: 11 10 6 
7: 11 6 9 
8: 3 11 6 
8: 11 3 9 
5: 9 5 6 
6: 6 11 5 
7: 4 11 5 
7: 11 4 6 
8: 10 11 4 
8: 11 10 6 
6: 11 6 9 
7: 3 11 6 
7: 11 3 9 
4: 9 6 3 
5: 3 11 6 
5: 11 3 9 
3: 9 3 7 
1: 1 2 3 
2: 1 2 4 
3: 4 1 5 
4: 3 5 4 
5: 4 6 5 
6: 4 11 5 
6: 11 4 6 
7: 10 11 4 
7: 11 10 6 
5: 6 4 3 
6: 6 8 3 
7: 3 10 8 
7: 10 3 6 
6: 8 6 4 
7: 8 6 10 
8: 3 10 8 
8: 10 3 6 
7: 6 4 10 
8: 10 11 4 
8: 11 10 6 
7: 4 8 10 
4: 5 3 1 
5: 5 3 6 
6: 4 6 5 
7: 4 11 5 
7: 11 4 6 
8: 10 11 4 
8: 11 10 6 
6: 6 4 3 
7: 6 8 3 
8: 3 10 8 
8: 10 3 6 
7: 8 6 4 
8: 8 6 10 
9: 3 10 8 
9: 10 3 6 
8: 6 4 10 
9: 10 11 4 
9: 11 10 6 
8: 4 8 10 
5: 3 1 6 
6: 6 9 1 
7: 5 9 1 
8: 5 9 11 
9: 6 11 5 
10: 4 11 5 
10: 11 4 6 
11: 10 11 4 
11: 11 10 6 
9: 11 6 9 
10: 3 11 6 
10: 11 3 9 
7: 9 5 6 
8: 6 11 5 
9: 4 11 5 
9: 11 4 6 
10: 10 11 4 
10: 11 10 6 
8: 11 6 9 
9: 3 11 6 
9: 11 3 9 
6: 9 6 3 
7: 3 11 6 
7: 11 3 9 
5: 1 5 6 
6: 5 9 1 
7: 5 9 11 
8: 6 11 5 
9: 4 11 5 
9: 11 4 6 
10: 10 11 4 
10: 11 10 6 
8: 11 6 9 
9: 3 11 6 
9: 11 3 9 
6: 9 5 6 
7: 6 11 5 
8: 4 11 5 
8: 11 4 6 
9: 10 11 4 
9: 11 10 6 
7: 11 6 9 
8: 3 11 6 
8: 11 3 9 
2: 2 3 4 
3: 4 7 3 
4: 3 8 7 
4: 8 3 4 
5: 6 8 3 
6: 3 10 8 
6: 10 3 6 
5: 8 6 4 
6: 8 6 10 
7: 3 10 8 
7: 10 3 6 
6: 6 4 10 
7: 10 11 4 
7: 11 10 6 
6: 4 8 10 
3: 7 4 2 
4: 4 8 7 
5: 3 8 7 
5: 8 3 4 
6: 6 8 3 
7: 3 10 8 
7: 10 3 6 
6: 8 6 4 
7: 8 6 10 
8: 3 10 8 
8: 10 3 6 
7: 6 4 10 
8: 10 11 4 
8: 11 10 6 
7: 4 8 10 
2: 3 1 4 
3: 3 5 4 
4: 4 6 5 
5: 4 11 5 
5: 11 4 6 
6: 10 11 4 
6: 11 10 6 
4: 6 4 3 
5: 6 8 3 
6: 3 10 8 
6: 10 3 6 
5: 8 6 4 
6: 8 6 10 
7: 3 10 8 
7: 10 3 6 
6: 6 4 10 
7: 10 11 4 
7: 11 10 6 
6: 4 8 10 
3: 5 3 1 
4: 5 3 6 
5: 4 6 5 
6: 4 11 5 
6: 11 4 6 
7: 10 11 4 
7: 11 10 6 
5: 6 4 3 
6: 6 8 3 
7: 3 10 8 
7: 10 3 6 
6: 8 6 4 
7: 8 6 10 
8: 3 10 8 
8: 10 3 6 
7: 6 4 10 
8: 10 11 4 
8: 11 10 6 
7: 4 8 10 
4: 3 1 6 
5: 6 9 1 
6: 5 9 1 
7: 5 9 11 
8: 6 11 5 
9: 4 11 5 
9: 11 4 6 
10: 10 11 4 
10: 11 10 6 
8: 11 6 9 
9: 3 11 6 
9: 11 3 9 
6: 9 5 6 
7: 6 11 5 
8: 4 11 5 
8: 11 4 6 
9: 10 11 4 
9: 11 10 6 
7: 11 6 9 
8: 3 11 6 
8: 11 3 9 
5: 9 6 3 
6: 3 11 6 
6: 11 3 9 
4: 1 5 6 
5: 5 9 1 
6: 5 9 11 
7: 6 11 5 
8: 4 11 5 
8: 11 4 6 
9: 10 11 4 
9: 11 10 6 
7: 11 6 9 
8: 3 11 6 
8: 11 3 9 
5: 9 5 6 
6: 6 11 5 
7: 4 11 5 
7: 11 4 6 
8: 10 11 4 
8: 11 10 6 
6: 11 6 9 
7: 3 11 6 
7: 11 3 9 
1: 2 0 3 
2: 2 0 7 
3: 7 2 8 
4: 4 8 7 
5: 3 8 7 
5: 8 3 4 
6: 6 8 3 
7: 3 10 8 
7: 10 3 6 
6: 8 6 4 
7: 8 6 10 
8: 3 10 8 
8: 10 3 6 
7: 6 4 10 
8: 10 11 4 
8: 11 10 6 
7: 4 8 10 
2: 0 3 7 
3: 1 7 0 
4: 1 7 9 
5: 3 9 1 
6: 6 9 1 
7: 5 9 1 
8: 5 9 11 
9: 6 11 5 
10: 4 11 5 
10: 11 4 6 
11: 10 11 4 
11: 11 10 6 
9: 11 6 9 
10: 3 11 6 
10: 11 3 9 
7: 9 5 6 
8: 6 11 5 
9: 4 11 5 
9: 11 4 6 
10: 10 11 4 
10: 11 10 6 
8: 11 6 9 
9: 3 11 6 
9: 11 3 9 
6: 9 6 3 
7: 3 11 6 
7: 11 3 9 
5: 9 3 7 
3: 7 1 3 
4: 3 9 1 
5: 6 9 1 
6: 5 9 1 
7: 5 9 11 
8: 6 11 5 
9: 4 11 5 
9: 11 4 6 
10: 10 11 4 
10: 11 10 6 
8: 11 6 9 
9: 3 11 6 
9: 11 3 9 
6: 9 5 6 
7: 6 11 5 
8: 4 11 5 
8: 11 4 6 
9: 10 11 4 
9: 11 10 6 
7: 11 6 9 
8: 3 11 6 
8: 11 3 9 
5: 9 6 3 
6: 3 11 6 
6: 11 3 9 
4: 9 3 7 
2: 3 2 7 
3: 4 7 3 
4: 3 8 7 
4: 8 3 4 
5: 6 8 3 
6: 3 10 8 
6: 10 3 6 
5: 8 6 4 
6: 8 6 10 
7: 3 10 8 
7: 10 3 6 
6: 6 4 10 
7: 10 11 4 
7: 11 10 6 
6: 4 8 10 
3: 7 4 2 
4: 4 8 7 
5: 3 8 7 
5: 8 3 4 
6: 6 8 3 
7: 3 10 8 
7: 10 3 6 
6: 8 6 4 
7: 8 6 10 
8: 3 10 8 
8: 10 3 6 
7: 6 4 10 
8: 10 11 4 
8: 11 10 6 
7: 4 8 10 
